04.29.2025,             7
04.30.2025,             3
05.02.2025,             2
05.03.2025,            55
05.04.2025,            54
05.05.2025,             4
05.06.2025,            46
05.07.2025,            29
05.08.2025,            19
05.09.2025,            25
05.12.2025,            10
05.13.2025,             1
05.14.2025,            11
05.15.2025,             6
05.16.2025,             1
05.19.2025,             2
05.20.2025,            10
05.21.2025,             5
05.22.2025,             2
05.23.2025,            32
05.26.2025,            14
05.27.2025,            18
05.28.2025,            34
05.29.2025,            32
05.30.2025,            49
05.31.2025,            40
06.02.2025,            50
06.03.2025,            50
06.04.2025,            35
06.05.2025,            33
06.06.2025,            30
06.07.2025,            48
06.09.2025,            33
06.10.2025,            73
06.11.2025,            40
06.12.2025,            33
06.13.2025,            23
06.14.2025,            53
06.16.2025,            22
06.17.2025,            29
06.18.2025,            28
06.19.2025,            60
06.20.2025,            66
06.21.2025,            52
06.22.2025,            53
06.23.2025,            15
06.24.2025,            29
06.25.2025,            29
06.26.2025,            32
06.27.2025,            23
06.28.2025,            54
06.30.2025,            30
07.01.2025,            31
07.02.2025,            30
07.03.2025,            30
07.04.2025,            37
07.05.2025,            54
07.07.2025,            31
07.08.2025,            29
07.09.2025,            30
07.10.2025,            25
07.11.2025,            25
07.12.2025,            54
07.14.2025,            32
07.15.2025,            36
07.16.2025,            31
07.17.2025,            35
07.18.2025,            31
07.19.2025,            55
07.21.2025,            40
07.22.2025,            34
07.23.2025,            42
07.24.2025,            36
07.25.2025,            25
07.26.2025,            54
07.28.2025,            28
07.29.2025,            25
07.30.2025,            24
07.31.2025,            31
08.01.2025,            37
08.02.2025,            55
08.04.2025,            36
08.05.2025,            38
08.06.2025,            32
08.07.2025,            29
08.08.2025,            26
08.09.2025,            55
08.11.2025,            31
08.12.2025,            31
08.13.2025,             3
08.14.2025,             2
08.15.2025,             1
08.16.2025,           106
08.18.2025,             2
08.19.2025,             3
08.20.2025,             4
08.21.2025,             4
08.22.2025,             4
08.23.2025,           105
08.25.2025,             9
08.26.2025,             4
08.27.2025,             1
08.28.2025,             3
08.29.2025,             3
08.30.2025,           106
08.31.2025,            55
09.01.2025,             2
09.02.2025,             2
09.03.2025,             6
09.04.2025,             3
09.05.2025,             8
09.08.2025,             3
09.09.2025,             5
09.10.2025,             9
09.11.2025,             8
09.12.2025,             3
09.13.2025,           108
09.15.2025,             3
